"","accesssions","treatment","description"
"1","GSM2152574","GROUND BRIC A PDFU-1 331 WT Rep1","normal.gravity"
"2","GSM2152575","GROUND BRIC A PDFU-1 331 WT Rep2","normal.gravity"
"3","GSM2152576","GROUND BRIC A PDFU-2 332 WT","normal.gravity"
"4","GSM2152577","GROUND BRIC B PDFU-1 339 WT","normal.gravity"
"5","GSM2152578","GROUND BRIC B PDFU-2 340 WT","normal.gravity"
"6","GSM2152569","FLIGHT BRIC A  PDFU-1 300 WT Rep1","micro.gravity"
"7","GSM2152570","FLIGHT BRIC A PDFU-1 300 WT Rep2","micro.gravity"
"8","GSM2152571","FLIGHT BRIC A PDFU-2 302 WT","micro.gravity"
"9","GSM2152572","FLIGHT BRIC B PDFU-1 303 WT","micro.gravity"
"10","GSM2152573","FLIGHT BRIC B PDFU-2 304 WT","micro.gravity"
